,Unnamed: 0,Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
119,119,30119,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,132,4.694317588002255,158,20,133,302.35110125343897,1
120,120,30120,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,54,2.559756817443265,63,40,55,252.1921289877486,1
121,121,30121,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,79,2.8535783310960667,98,40,80,263.420852435853,1
122,122,30122,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,102,2.497441433536447,135,40,103,262.7614352136976,1
123,123,30123,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,24,1.6736856924170624,32,40,25,261.03173969362007,1
124,124,30124,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,123,1.2730354070663452,137,40,124,287.8290704551299,1
125,125,30125,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,27,4.1285275019723375,32,40,28,308.1601520217582,1
126,126,30126,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,35,4.881792128480511,45,40,36,307.561335363041,1
127,127,30127,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,33,4.875481963552074,40,40,34,319.1679152230004,1
128,128,30128,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,181,7.482946804026606,250,40,182,302.5796759730128,1
129,129,30129,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,50,4.791330832450438,67,40,51,306.7700123539544,1
130,130,30130,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,162,3.6750140676323078,194,80,163,259.3126877929984,1
131,131,30131,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,32,2.4097055552213478,34,80,33,255.3441090331833,1
132,132,30132,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,83,0.5600393414497374,96,80,84,303.69792377103045,1
133,133,30133,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,30,2.408530747672825,36,80,31,247.78500161654148,1
134,134,30134,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,39,2.7453257410951237,46,80,40,261.15096340727587,1
135,135,30135,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,82,3.4264011983892226,107,80,83,337.5395800963762,1
