Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
10246,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",1,30,5.8,82,50,50,374.79,True
10247,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",2,30,5.63,82,50,50,374.79,True
10248,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",3,30,5.19,82,50,50,374.79,True
10249,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",4,30,5.22,82,50,50,374.79,True
10250,fmt,forest,11,"[225, 11]","[37, 215]",0,25,4.13,70,50,50,353.66,True
10251,fmt,forest,11,"[225, 11]","[37, 215]",1,25,3.92,70,50,50,353.66,True
10252,fmt,forest,11,"[225, 11]","[37, 215]",2,25,4.18,70,50,50,353.66,True
10253,fmt,forest,11,"[225, 11]","[37, 215]",3,25,4.13,70,50,50,353.66,True
10254,fmt,forest,11,"[225, 11]","[37, 215]",4,25,4.2,70,50,50,353.66,True
10255,fmt,forest,12,"[35, 215]","[232, 14]",0,18,3.99,63,50,50,352.0,True
10256,fmt,forest,12,"[35, 215]","[232, 14]",1,18,3.36,63,50,50,352.0,True
10257,fmt,forest,12,"[35, 215]","[232, 14]",2,18,3.92,63,50,50,352.0,True
10258,fmt,forest,12,"[35, 215]","[232, 14]",3,18,3.49,63,50,50,352.0,True
10259,fmt,forest,12,"[35, 215]","[232, 14]",4,18,3.44,63,50,50,352.0,True
10260,fmt,forest,13,"[210, 250]","[42, 20]",0,29,4.75,70,50,50,396.14,True
10261,fmt,forest,13,"[210, 250]","[42, 20]",1,29,4.6,70,50,50,396.14,True
10262,fmt,forest,13,"[210, 250]","[42, 20]",2,29,4.72,70,50,50,396.14,True
10263,fmt,forest,13,"[210, 250]","[42, 20]",3,29,4.09,70,50,50,396.14,True
10264,fmt,forest,13,"[210, 250]","[42, 20]",4,29,4.75,70,50,50,396.14,True
10265,fmt,forest,14,"[242, 206]","[36, 30]",0,48,6.13,88,50,50,-1,False
10266,fmt,forest,14,"[242, 206]","[36, 30]",1,48,6.26,88,50,50,-1,False
10267,fmt,forest,14,"[242, 206]","[36, 30]",2,48,5.82,88,50,50,-1,False
10268,fmt,forest,14,"[242, 206]","[36, 30]",3,48,5.53,88,50,50,-1,False
10269,fmt,forest,14,"[242, 206]","[36, 30]",4,48,6.08,88,50,50,-1,False
10270,fmt,forest,15,"[247, 9]","[9, 191]",0,18,3.3,55,50,50,345.4,True
10271,fmt,forest,15,"[247, 9]","[9, 191]",1,18,4.08,55,50,50,345.4,True
10272,fmt,forest,15,"[247, 9]","[9, 191]",2,18,3.52,55,50,50,345.4,True
10273,fmt,forest,15,"[247, 9]","[9, 191]",3,18,3.72,55,50,50,345.4,True
10274,fmt,forest,15,"[247, 9]","[9, 191]",4,18,3.68,55,50,50,345.4,True
